Material_ID,Category,Grade,Form,Specification,Description,Tensile_Strength_MPa,Yield_Strength_MPa,Elongation_Percent,Hardness_HB,Size_Dimensions,Quantity,Unit,Unit_Price_USD,Supplier,Buyer,WO_Number,MR_Number,PR_Number,RFQ_Number,Order_Date,Delivery_Date,Status,Heat_Number,MTC_Number,Inspection_Required,PMI_Required,Application
MAT-0001,Carbon Steel,A36,Pipe,ASTM A53,Carbon Steel A36 Pipe,1029,701,19,246,463mm x 371mm,13,EA,331.84,VDM Metals,Amanda Brown,WO-2024-8588,MR-2024-811,PR-2024-54015,RFQ-2024-2053,2025-06-15,2025-07-18,In Transit,H168433,MTC-23799,No,Yes,Pressure Vessel
MAT-0002,Carbon Steel,A36,Plate,ASTM A572,Carbon Steel A36 Plate,801,662,15,174,302mm x 267mm,47,MT,166.73,Special Metals,Emily Martinez,WO-2024-8014,MR-2024-396,PR-2024-42982,RFQ-2024-2825,2025-05-02,2025-06-11,On Site,H316050,MTC-66377,Yes,Yes,Structural
MAT-0003,Carbon Steel,A36,Bar,ASTM A516,Carbon Steel A36 Bar,992,636,30,356,389mm x 79mm,26,EA,70.95,ThyssenKrupp,Lisa Rodriguez,WO-2024-8125,MR-2024-917,PR-2024-52366,RFQ-2024-1540,2025-05-16,2025-07-08,Delivered,H724510,MTC-82420,Yes,Yes,Structural
MAT-0004,Carbon Steel,A36,Sheet,ASTM A572,Carbon Steel A36 Sheet,897,523,31,257,300mm x 118mm,35,EA,150.71,Allegheny Technologies,Michael Garcia,WO-2024-5916,MR-2024-589,PR-2024-66754,RFQ-2024-9432,2025-04-08,2025-05-07,Inspected,H638780,MTC-75248,No,Yes,Structural
MAT-0005,Carbon Steel,A36,Beam,ASTM A106,Carbon Steel A36 Beam,574,331,27,216,475mm x 318mm,63,MT,274.13,ThyssenKrupp,Lisa Rodriguez,WO-2024-5451,MR-2024-289,PR-2024-68340,RFQ-2024-4225,2025-05-31,2025-06-20,Delivered,H691314,MTC-17869,Yes,Yes,Piping
MAT-0006,Carbon Steel,A106,Pipe,ASTM A516,Carbon Steel A106 Pipe,760,393,27,261,312mm x 188mm,22,EA,21.09,Outokumpu,Robert Taylor,WO-2024-4981,MR-2024-408,PR-2024-12098,RFQ-2024-4896,2025-05-20,2025-07-12,Active,H901340,MTC-76794,No,Yes,Valve
MAT-0007,Carbon Steel,A106,Plate,ASTM A106,Carbon Steel A106 Plate,865,427,24,270,221mm x 240mm,25,EA,495.26,Acerinox,Emily Martinez,WO-2024-8470,MR-2024-727,PR-2024-88987,RFQ-2024-9560,2025-06-05,2025-06-22,In Transit,H648864,MTC-43874,No,No,Pressure Vessel
MAT-0008,Carbon Steel,A106,Bar,ASTM A572,Carbon Steel A106 Bar,423,799,24,262,136mm x 201mm,2,EA,331.29,VDM Metals,Emily Martinez,WO-2024-1607,MR-2024-396,PR-2024-24338,RFQ-2024-6354,2025-05-09,2025-06-01,In Transit,H468697,MTC-46458,No,Yes,Heat Exchanger
MAT-0009,Carbon Steel,A106,Sheet,ASTM A36,Carbon Steel A106 Sheet,416,314,24,320,35mm x 314mm,23,MT,339.01,Nucor Steel,Jennifer Davis,WO-2024-8595,MR-2024-859,PR-2024-35296,RFQ-2024-7951,2025-05-27,2025-06-15,Active,H339968,MTC-35229,No,Yes,Heat Exchanger
MAT-0010,Carbon Steel,A106,Beam,ASTM A516,Carbon Steel A106 Beam,724,782,25,163,286mm x 318mm,4,MT,443.07,Outokumpu,Lisa Rodriguez,WO-2024-8788,MR-2024-293,PR-2024-97325,RFQ-2024-1870,2025-05-14,2025-06-11,On Site,H849648,MTC-41086,No,No,Heat Exchanger
MAT-0011,Carbon Steel,A516-70,Pipe,ASTM A516,Carbon Steel A516-70 Pipe,473,458,25,383,90mm x 430mm,70,MT,209.05,Allegheny Technologies,Robert Taylor,WO-2024-2135,MR-2024-934,PR-2024-65531,RFQ-2024-3435,2025-04-03,2025-05-08,Active,H630954,MTC-57005,No,No,Pressure Vessel
MAT-0012,Carbon Steel,A516-70,Plate,ASTM A36,Carbon Steel A516-70 Plate,482,758,27,284,325mm x 447mm,76,FT,52.31,VDM Metals,Michael Garcia,WO-2024-8014,MR-2024-650,PR-2024-94953,RFQ-2024-7781,2025-04-19,2025-05-15,On Site,H356411,MTC-30285,No,Yes,Heat Exchanger
MAT-0013,Carbon Steel,A516-70,Bar,ASTM A53,Carbon Steel A516-70 Bar,567,627,33,278,109mm x 443mm,12,KG,315.74,Special Metals,Amanda Brown,WO-2024-7937,MR-2024-245,PR-2024-68489,RFQ-2024-1839,2025-04-17,2025-05-26,Delivered,H442513,MTC-99508,Yes,No,Structural
MAT-0014,Carbon Steel,A516-70,Sheet,ASTM A516,Carbon Steel A516-70 Sheet,691,722,33,241,250mm x 408mm,53,KG,484.64,Special Metals,Lisa Rodriguez,WO-2024-1969,MR-2024-211,PR-2024-23690,RFQ-2024-3575,2025-04-16,2025-05-29,Inspected,H716444,MTC-23055,Yes,Yes,Structural
MAT-0015,Carbon Steel,A516-70,Beam,ASTM A106,Carbon Steel A516-70 Beam,957,429,21,231,33mm x 233mm,26,FT,462.97,VDM Metals,Robert Taylor,WO-2024-1378,MR-2024-193,PR-2024-30997,RFQ-2024-1528,2025-05-29,2025-07-05,Inspected,H293413,MTC-88032,No,Yes,Structural
MAT-0016,Carbon Steel,A53,Pipe,ASTM A572,Carbon Steel A53 Pipe,814,799,29,325,441mm x 445mm,16,KG,197.66,Allegheny Technologies,Amanda Brown,WO-2024-4217,MR-2024-897,PR-2024-37671,RFQ-2024-2536,2025-06-13,2025-08-10,Delivered,H935494,MTC-70675,No,No,Heat Exchanger
